Wed, 14 Sep 2016 16:16:17 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/47fe458a-7a5f-11e6-a8fe-42f2e9ef1641', u'name': u'kjr43jqitkjk', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'47fe458a-7a5f-11e6-a8fe-42f2e9ef1641', u'device-number': u'0016', u'virtual-switch-uri': u'/api/virtual-switches/3e82cc56-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u''}
Wed, 14 Sep 2016 16:16:17 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>, <CreateTemplate.Object instance at 0x7f57932f1f38>, <CreateTemplate.Object instance at 0x7f57933176c8>, <CreateTemplate.Object instance at 0x7f57932f1488>]
Wed, 14 Sep 2016 16:16:17 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:17 DEBUG    /api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/396aa5d6-7a5f-11e6-a8fe-42f2e9ef1641
Wed, 14 Sep 2016 16:16:17 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/396aa5d6-7a5f-11e6-a8fe-42f2e9ef1641', u'name': u'newajhq3jkn', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'396aa5d6-7a5f-11e6-a8fe-42f2e9ef1641', u'device-number': u'0013', u'virtual-switch-uri': u'/api/virtual-switches/4197aac4-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u''}
Wed, 14 Sep 2016 16:16:17 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>, <CreateTemplate.Object instance at 0x7f57932f1f38>, <CreateTemplate.Object instance at 0x7f57933176c8>, <CreateTemplate.Object instance at 0x7f57932f1488>, <CreateTemplate.Object instance at 0x7f5793317638>]
Wed, 14 Sep 2016 16:16:17 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:17 DEBUG    /api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/e1b30d9c-7a5e-11e6-a8fe-42f2e9ef1641
Wed, 14 Sep 2016 16:16:18 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/e1b30d9c-7a5e-11e6-a8fe-42f2e9ef1641', u'name': u'add', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'e1b30d9c-7a5e-11e6-a8fe-42f2e9ef1641', u'device-number': u'0001', u'virtual-switch-uri': u'/api/virtual-switches/3e93bc28-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u''}
Wed, 14 Sep 2016 16:16:18 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>, <CreateTemplate.Object instance at 0x7f57932f1f38>, <CreateTemplate.Object instance at 0x7f57933176c8>, <CreateTemplate.Object instance at 0x7f57932f1488>, <CreateTemplate.Object instance at 0x7f5793317638>, <CreateTemplate.Object instance at 0x7f57933175a8>]
